weekday,holiday,holiday_name,total,timestamp,item_id
Monday,0,na,125.0,3/20/2017,Restaurant_Visitors
Tuesday,0,na,55.0,3/21/2017,Restaurant_Visitors
Wednesday,0,na,109.0,3/22/2017,Restaurant_Visitors
Thursday,0,na,84.0,3/23/2017,Restaurant_Visitors
Friday,0,na,154.0,3/24/2017,Restaurant_Visitors
Saturday,0,na,264.0,3/25/2017,Restaurant_Visitors
Sunday,0,na,146.0,3/26/2017,Restaurant_Visitors
Monday,0,na,98.0,3/27/2017,Restaurant_Visitors
Tuesday,0,na,97.0,3/28/2017,Restaurant_Visitors
Wednesday,0,na,140.0,3/29/2017,Restaurant_Visitors
Thursday,0,na,100.0,3/30/2017,Restaurant_Visitors
Friday,0,na,149.0,3/31/2017,Restaurant_Visitors
Saturday,0,na,196.0,4/1/2017,Restaurant_Visitors
Sunday,0,na,196.0,4/2/2017,Restaurant_Visitors
Monday,0,na,69.0,4/3/2017,Restaurant_Visitors
Tuesday,0,na,99.0,4/4/2017,Restaurant_Visitors
Wednesday,0,na,98.0,4/5/2017,Restaurant_Visitors
Thursday,0,na,74.0,4/6/2017,Restaurant_Visitors
Friday,0,na,162.0,4/7/2017,Restaurant_Visitors
Saturday,0,na,191.0,4/8/2017,Restaurant_Visitors
Sunday,0,na,177.0,4/9/2017,Restaurant_Visitors
Monday,0,na,73.0,4/10/2017,Restaurant_Visitors
Tuesday,0,na,77.0,4/11/2017,Restaurant_Visitors
Wednesday,0,na,89.0,4/12/2017,Restaurant_Visitors
Thursday,0,na,70.0,4/13/2017,Restaurant_Visitors
Friday,1,Good Friday,221.0,4/14/2017,Restaurant_Visitors
Saturday,0,na,218.0,4/15/2017,Restaurant_Visitors
Sunday,1,Easter,253.0,4/16/2017,Restaurant_Visitors
Monday,1,Easter Monday,140.0,4/17/2017,Restaurant_Visitors
Tuesday,0,na,91.0,4/18/2017,Restaurant_Visitors
Wednesday,0,na,79.0,4/19/2017,Restaurant_Visitors
Thursday,0,na,90.0,4/20/2017,Restaurant_Visitors
Friday,0,na,165.0,4/21/2017,Restaurant_Visitors
Saturday,0,na,226.0,4/22/2017,Restaurant_Visitors
Sunday,0,na,,4/23/2017,Restaurant_Visitors
Monday,0,na,,4/24/2017,Restaurant_Visitors
Tuesday,0,na,,4/25/2017,Restaurant_Visitors
Wednesday,0,na,,4/26/2017,Restaurant_Visitors
Thursday,0,na,,4/27/2017,Restaurant_Visitors
Friday,0,na,,4/28/2017,Restaurant_Visitors
Saturday,0,na,,4/29/2017,Restaurant_Visitors
Sunday,0,na,,4/30/2017,Restaurant_Visitors
Monday,0,na,,5/1/2017,Restaurant_Visitors
Tuesday,0,na,,5/2/2017,Restaurant_Visitors
Wednesday,0,na,,5/3/2017,Restaurant_Visitors
Thursday,0,na,,5/4/2017,Restaurant_Visitors
Friday,1,Cinco de Mayo,,5/5/2017,Restaurant_Visitors
Saturday,0,na,,5/6/2017,Restaurant_Visitors
Sunday,0,na,,5/7/2017,Restaurant_Visitors
Monday,0,na,,5/8/2017,Restaurant_Visitors
Tuesday,0,na,,5/9/2017,Restaurant_Visitors
Wednesday,0,na,,5/10/2017,Restaurant_Visitors
Thursday,0,na,,5/11/2017,Restaurant_Visitors
Friday,0,na,,5/12/2017,Restaurant_Visitors
Saturday,0,na,,5/13/2017,Restaurant_Visitors
Sunday,1,Mother's Day,,5/14/2017,Restaurant_Visitors
Monday,0,na,,5/15/2017,Restaurant_Visitors
Tuesday,0,na,,5/16/2017,Restaurant_Visitors
Wednesday,0,na,,5/17/2017,Restaurant_Visitors
Thursday,0,na,,5/18/2017,Restaurant_Visitors
Friday,0,na,,5/19/2017,Restaurant_Visitors
Saturday,0,na,,5/20/2017,Restaurant_Visitors
Sunday,0,na,,5/21/2017,Restaurant_Visitors
Monday,0,na,,5/22/2017,Restaurant_Visitors
Tuesday,0,na,,5/23/2017,Restaurant_Visitors
Wednesday,0,na,,5/24/2017,Restaurant_Visitors
Thursday,0,na,,5/25/2017,Restaurant_Visitors
Friday,0,na,,5/26/2017,Restaurant_Visitors
Saturday,0,na,,5/27/2017,Restaurant_Visitors
Sunday,0,na,,5/28/2017,Restaurant_Visitors
Monday,1,Memorial Day,,5/29/2017,Restaurant_Visitors
Tuesday,0,na,,5/30/2017,Restaurant_Visitors
Wednesday,0,na,,5/31/2017,Restaurant_Visitors
